Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Naver Smart Store URL (product.metafields.custom.naver_smart_store_url),색상 (product.metafields.shopify.color-pattern),추천 추가 상품 (product.metafields.shopify--discovery--product_recommendation.complementary_products),관련 제품 (product.metafields.shopify--discovery--product_recommendation.related_products),관련 제품 설정 (product.metafields.shopify--discovery--product_recommendation.related_products_display),검색 제품 상단 노출 (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
americano-cup-wholesale-6-pack,Americano Cup — Wholesale 6-pack,"<p>Americano Cup × 6 units<br>Minimum order: 30 units (5 packs)<br><br>A 300ml porcelain cup for Americano, brewed coffee, tea, and generous everyday drinks. Designed for easy stacking with Bunnar’s Cappuccino and Cafe Standard cups, it also pairs with the Mini Plate as a lid or saucer. A practical cup for home, café, and office use. Made in Korea.<br></p>",bunnar,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Coffee & Tea Cups,"",wholesale,true,Pack size,5 packs (30 units),,,,,,,,,0.0,shopify,999,deny,manual,50.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0661/9761/8823/files/04-2.jpg?v=1748482368,1,"bunnar Americano Cup — Korean-made ceramic, 300ml / 10oz",false,,,,shopify--color-pattern-2z01p7ie,,,,,,kg,,,active
americano-cup-wholesale-6-pack,,,,,,,,,10 packs (60 units),,,,,,,,,0.0,shopify,999,deny,manual,50.00,,true,true,,,,,"",,,,,,,,,,,,,,kg,,,
americano-cup-wholesale-6-pack,,,,,,,,,20 packs (120 units),,,,,,,,,0.0,shopify,999,deny,manual,50.00,,true,true,,,,,"",,,,,,,,,,,,,,kg,,,
flat-white-cup-wholesale,Flat White Cup — Wholesale 6-pack,<p>Flat White Cup × 6 units<br>Minimum order: 30 units (5 packs)</p>,bunnar,Business & Industrial > Food Service > Disposable Tableware > Disposable Cups,"",wholesale,true,Title,Default Title,,,,,,,,,0.0,shopify,999,deny,manual,50.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0661/9761/8823/files/02-2.jpg?v=1748482354,1,"bunnar Flat White Cup — Korean-made Korean ceramic, 180ml / 6oz",false,,,,shopify--color-pattern-2z01p7ie,,,,,,kg,,,active
espresso-cup-wholesale-6-pack,Espresso Cup — Wholesale 6-pack,"<p>Espresso Cup × 6 units<br>
Minimum order: 5 packs (30 units)</p>

<p style=""background-color:#73FF6C; padding:10px 14px; border-radius:4px; font-size:13px;"">
  ⚠ Shipping costs calculated separately.<br>
  Final invoice issued via email after order confirmation.
</p>",bunnar,Uncategorized,"",wholesale,true,Title,Default Title,,,,,,,,,0.0,shopify,999,deny,manual,44.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0661/9761/8823/files/1-01-02.jpg?v=1778228107,1,"",false,,,,,,,,,,kg,,,active
taster-cup-m-테이스터-컵-m-250ml-8-5oz,Taster Cup M,"<p>A 250ml porcelain taster cup for coffee lovers who enjoy aroma, balance, and a softer drinking experience. The open form makes it easy to enjoy hand-drip coffee, tea, or any drink that deserves a quiet moment. Made in Korea.</p>",bunnar,Uncategorized,Taster Cup,"250ml, 8.5oz, bunnar, ceramic, coffee taster, coffeeware, cupping, korean ceramics, specialty coffee, taster cup, tasting cup",true,색상,Default Title,,,,,,,,,0.0,,0,deny,manual,12.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/25-2_48f976cb-1e4c-47d7-888e-e113073b6d42.jpg?v=1748482502,1,"bunnar Taster Cup M — Korean-made ceramic, 250ml / 8.5oz",false,Taster Cup M 250ml | bunnar Specialty Coffee Ceramic — Made in Korea,A 250ml / 8.5oz taster cup optimized for specialty coffee. Inspired by traditional tea bowl forms to enhance aroma and flavor perception.,https://smartstore.naver.com/bunnar/products/10375816590,shopify--color-pattern-kylj2bdw; shopify--color-pattern-nww3jzho,,,,,,g,,,active
taster-cup-s-테이스터-컵-s-210ml-7oz,Taster Cup S,"<p>The Taster Cup is shaped to bring out the aroma, texture, and character of coffee. Its gently open rim allows each sip to spread across the palate with ease. The S size is a versatile cup for hand-drip coffee, tasting, and sharing small servings throughout the day. Made in Korea.</p>",bunnar,Uncategorized,Taster Cup,"",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,12.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/24-2.jpg?v=1748482496,1,"bunnar Taster Cup S — Korean-made Korean ceramic, 210ml / 7oz",false,Taster Cup S 210ml | bunnar Specialty Coffee Ceramic — Made in Korea,"A 210ml / 7oz taster cup designed for specialty coffee cupping and tasting. Wide rim, flared opening, Korean-made in Korea.",https://smartstore.naver.com/bunnar/products/10375807900,,,,,,,kg,,,active
daily-cup-l-데일리-컵-l-300ml-10oz,Daily Cup L,"<p><span>제품의 이름처럼 매일 커피를 즐기는 사람들은 위해 디자인된 컵으로 바리스타와 커피테이스터의 의견을 담아 한손으로 쉽게 잡을 수 있으며, 쉽게 적층되어 보관될 수 있고, 커피 맛과 향을 잘 즐길 수 있는 전의 넓이로 디자인 되었습니다. 커피 뿐만아니라 어떤 음료에도 사용하기에 좋으며, 특히 우유와 함께 담기는 메뉴에 잘 어울립니다. 분나 데일리 잔과 함께 우리가 사랑하는 커피를 조금 더 편하게, 기분좋게 즐길 수 있으면 좋겠습니다! 메뉴나 용량에 따라 선택하여 사용할 수 있도록 210, 250, 300ml의 세 가지 용량으로 제작되었습니다.</span></p>",bunnar,,Daily Cup,"",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,13.50,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/23-2.jpg?v=1748482488,1,"bunnar Daily Cup L — Korean-made Korean ceramic, 300ml / 10oz",false,Daily Cup L 300ml | bunnar Ceramic Tableware — Made in Korea,"A 300ml / 10oz large daily ceramic cup from bunnar. Korean-made in Korea with a clean, minimal form suited for any beverage.",https://smartstore.naver.com/bunnar/products/10375750945,,,,,,,kg,,,active
daily-cup-m-데일리-컵-m-250ml-8-5oz,Daily Cup M,"<p><span>제품의 이름처럼 매일 커피를 즐기는 사람들은 위해 디자인된 컵으로 바리스타와 커피테이스터의 의견을 담아 한손으로 쉽게 잡을 수 있으며, 쉽게 적층되어 보관될 수 있고, 커피 맛과 향을 잘 즐길 수 있는 전의 넓이로 디자인 되었습니다. 커피 뿐만아니라 어떤 음료에도 사용하기에 좋으며, 특히 우유와 함께 담기는 메뉴에 잘 어울립니다. 분나 데일리 잔과 함께 우리가 사랑하는 커피를 조금 더 편하게, 기분좋게 즐길 수 있으면 좋겠습니다! 메뉴나 용량에 따라 선택하여 사용할 수 있도록 210, 250, 300ml의 세 가지 용량으로 제작되었습니다.</span></p>",bunnar,,Daily Cup,"",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,12.50,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/22-2.jpg?v=1748482483,1,"bunnar Daily Cup M — Korean-made Korean ceramic, 250ml / 8.5oz",false,Daily Cup M 250ml | bunnar Ceramic Tableware — Made in Korea,A 250ml / 8.5oz everyday ceramic cup from bunnar. Balanced proportions and a refined surface finish for daily coffee and tea use.,https://smartstore.naver.com/bunnar/products/10375741889,,,,,,,kg,,,active
daily-cup-s-데일리-컵-s-210ml-7oz,Daily Cup S,"<p><span>제품의 이름처럼 매일 커피를 즐기는 사람들은 위해 디자인된 컵으로 바리스타와 커피테이스터의 의견을 담아 한손으로 쉽게 잡을 수 있으며, 쉽게 적층되어 보관될 수 있고, 커피 맛과 향을 잘 즐길 수 있는 전의 넓이로 디자인 되었습니다. 커피 뿐만아니라 어떤 음료에도 사용하기에 좋으며, 특히 우유와 함께 담기는 메뉴에 잘 어울립니다. 분나 데일리 잔과 함께 우리가 사랑하는 커피를 조금 더 편하게, 기분좋게 즐길 수 있으면 좋겠습니다! 메뉴나 용량에 따라 선택하여 사용할 수 있도록 210, 250, 300ml의 세 가지 용량으로 제작되었습니다.</span></p>",bunnar,,Daily Cup,"",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,12.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/21-2.jpg?v=1748482477,1,"bunnar Daily Cup S — Korean-made Korean ceramic, 210ml / 7oz",false,Daily Cup S 210ml | bunnar Ceramic Tableware — Made in Korea,"A 210ml / 7oz everyday ceramic cup from bunnar. Smooth, tactile form designed for coffee, tea, and daily use. Korean-made in Korea.",https://smartstore.naver.com/bunnar/products/10375728627,,,,,,,kg,,,active
cafe-mug-m-카페-머그-m-355ml-12oz,Cafe Mug M,"<p>A generous porcelain mug for coffee lovers who enjoy a little more. With a comfortable handle and 355ml volume, it is made for brewed coffee, tea, milk coffee, and long everyday drinks at home, in cafés, or at the desk. Made in Korea.</p>",bunnar,Uncategorized,Mug,"",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,18.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/07-2.jpg?v=1748482469,1,"bunnar Cafe Mug M — Korean-made Korean ceramic, 355ml / 12oz",false,Cafe Mug 355ml | bunnar Ceramic Coffeeware — Made in Korea,"A 355ml / 12oz ceramic mug with a comfortable handle and clean surface finish. Korean-made in Korea. Suitable for cafes, wholesale supply, and everyday use.",https://smartstore.naver.com/bunnar/products/10036395483,,,,,,,g,,,active
