id,title,description,link,image_link,price,availability,google_product_category,brand,condition
americano-cup-wholesale-6-pack,Americano Cup — Wholesale 6-pack,"Americano Cup × 6 units Minimum order: 30 units (5 packs) A 300ml porcelain cup for Americano, brewed coffee, tea, and generous everyday drinks. Designed for easy stacking with Bunnar’s Cappuccino and Cafe Standard cups, it also pairs with the Mini Plate as a lid or saucer. A practical cup for home, café, and office use. Made in Korea.",https://bunnar.kr/products/americano-cup-wholesale-6-pack,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/04-2.jpg?v=1748482368,50.0 USD,in stock,638,bunnar,new
flat-white-cup-wholesale,Flat White Cup — Wholesale 6-pack,Flat White Cup × 6 units Minimum order: 30 units (5 packs),https://bunnar.kr/products/flat-white-cup-wholesale,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/02-2.jpg?v=1748482354,50.0 USD,in stock,638,bunnar,new
espresso-cup-wholesale-6-pack,Espresso Cup — Wholesale 6-pack,Espresso Cup × 6 units Minimum order: 5 packs (30 units) ⚠ Shipping costs calculated separately. Final invoice issued via email after order confirmation.,https://bunnar.kr/products/espresso-cup-wholesale-6-pack,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/1-01-02.jpg?v=1778228107,44.0 USD,in stock,638,bunnar,new
taster-cup-m-테이스터-컵-m-250ml-8-5oz,Taster Cup M,"A 250ml porcelain taster cup for coffee lovers who enjoy aroma, balance, and a softer drinking experience. The open form makes it easy to enjoy hand-drip coffee, tea, or any drink that deserves a quiet moment. Made in Korea.",https://bunnar.kr/products/taster-cup-m-테이스터-컵-m-250ml-8-5oz,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/25-2_48f976cb-1e4c-47d7-888e-e113073b6d42.jpg?v=1748482502,12.5 USD,in stock,638,bunnar,new
taster-cup-s-테이스터-컵-s-210ml-7oz,Taster Cup S,"The Taster Cup is shaped to bring out the aroma, texture, and character of coffee. Its gently open rim allows each sip to spread across the palate with ease. The S size is a versatile cup for hand-drip coffee, tasting, and sharing small servings throughout the day. Made in Korea.",https://bunnar.kr/products/taster-cup-s-테이스터-컵-s-210ml-7oz,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/24-2.jpg?v=1748482496,12.0 USD,in stock,638,bunnar,new
daily-cup-l-데일리-컵-l-300ml-10oz,Daily Cup L,"제품의 이름처럼 매일 커피를 즐기는 사람들은 위해 디자인된 컵으로 바리스타와 커피테이스터의 의견을 담아 한손으로 쉽게 잡을 수 있으며, 쉽게 적층되어 보관될 수 있고, 커피 맛과 향을 잘 즐길 수 있는 전의 넓이로 디자인 되었습니다. 커피 뿐만아니라 어떤 음료에도 사용하기에 좋으며, 특히 우유와 함께 담기는 메뉴에 잘 어울립니다. 분나 데일리 잔과 함께 우리가 사랑하는 커피를 조금 더 편하게, 기분좋게 즐길 수 있으면 좋겠습니다! 메뉴나 용량에 따라 선택하여 사용할 수 있도록 210, 250, 300ml의 세 가지 용량으로 제작되었습니다.",https://bunnar.kr/products/daily-cup-l-데일리-컵-l-300ml-10oz,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/23-2.jpg?v=1748482488,13.5 USD,in stock,638,bunnar,new
daily-cup-m-데일리-컵-m-250ml-8-5oz,Daily Cup M,"제품의 이름처럼 매일 커피를 즐기는 사람들은 위해 디자인된 컵으로 바리스타와 커피테이스터의 의견을 담아 한손으로 쉽게 잡을 수 있으며, 쉽게 적층되어 보관될 수 있고, 커피 맛과 향을 잘 즐길 수 있는 전의 넓이로 디자인 되었습니다. 커피 뿐만아니라 어떤 음료에도 사용하기에 좋으며, 특히 우유와 함께 담기는 메뉴에 잘 어울립니다. 분나 데일리 잔과 함께 우리가 사랑하는 커피를 조금 더 편하게, 기분좋게 즐길 수 있으면 좋겠습니다! 메뉴나 용량에 따라 선택하여 사용할 수 있도록 210, 250, 300ml의 세 가지 용량으로 제작되었습니다.",https://bunnar.kr/products/daily-cup-m-데일리-컵-m-250ml-8-5oz,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/22-2.jpg?v=1748482483,12.5 USD,in stock,638,bunnar,new
daily-cup-s-데일리-컵-s-210ml-7oz,Daily Cup S,"제품의 이름처럼 매일 커피를 즐기는 사람들은 위해 디자인된 컵으로 바리스타와 커피테이스터의 의견을 담아 한손으로 쉽게 잡을 수 있으며, 쉽게 적층되어 보관될 수 있고, 커피 맛과 향을 잘 즐길 수 있는 전의 넓이로 디자인 되었습니다. 커피 뿐만아니라 어떤 음료에도 사용하기에 좋으며, 특히 우유와 함께 담기는 메뉴에 잘 어울립니다. 분나 데일리 잔과 함께 우리가 사랑하는 커피를 조금 더 편하게, 기분좋게 즐길 수 있으면 좋겠습니다! 메뉴나 용량에 따라 선택하여 사용할 수 있도록 210, 250, 300ml의 세 가지 용량으로 제작되었습니다.",https://bunnar.kr/products/daily-cup-s-데일리-컵-s-210ml-7oz,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/21-2.jpg?v=1748482477,12.0 USD,in stock,638,bunnar,new
cafe-mug-m-카페-머그-m-355ml-12oz,Cafe Mug M,"A generous porcelain mug for coffee lovers who enjoy a little more. With a comfortable handle and 355ml volume, it is made for brewed coffee, tea, milk coffee, and long everyday drinks at home, in cafés, or at the desk. Made in Korea.",https://bunnar.kr/products/cafe-mug-m-카페-머그-m-355ml-12oz,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/07-2.jpg?v=1748482469,18.5 USD,in stock,638,bunnar,new
americano-cup-and-saucer-아메리카노-컵-앤-소서-300ml-10oz,Americano Cup and Saucer,"A porcelain cup and saucer set for Americano, brewed coffee, and generous daily drinks. The 300ml cup offers a comfortable volume for slow sipping, while the saucer adds a calm and finished feeling to the table. Made in Korea.",https://bunnar.kr/products/americano-cup-and-saucer-아메리카노-컵-앤-소서-300ml-10oz,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/04s-2.jpg?v=1748482466,29.0 USD,in stock,638,bunnar,new
cafe-standard-cup-카페-스탠다드-컵-250ml-8-5oz,Cafe Standard Cup,"A balanced porcelain cup for everyday coffee service. With a comfortable 250ml volume, it works well for brewed coffee, milk coffee, tea, and daily drinks at home, in cafés, or in the office. Made in Korea.",https://bunnar.kr/products/cafe-standard-cup-카페-스탠다드-컵-250ml-8-5oz,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/06-2.jpg?v=1748482458,17.0 USD,in stock,638,bunnar,new
cafe-standard-cup-saucer-카페-스탠다드-컵앤-소서-250ml-8-5oz,Cafe Standard Cup & Saucer,"A porcelain cup and saucer set for everyday café service. The 250ml cup is made for brewed coffee, milk coffee, tea, and daily drinks, while the saucer helps create a calm and complete table setting. Made in Korea.",https://bunnar.kr/products/cafe-standard-cup-saucer-카페-스탠다드-컵앤-소서-250ml-8-5oz,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/06s-2.jpg?v=1748482456,29.0 USD,in stock,638,bunnar,new
espresso-cup-and-saucer-에스프레소-컵-앤-소서-75ml-2-5oz,Espresso Cup and Saucer,"A small porcelain cup and saucer set for espresso and double espresso. The cup is compact and focused, while the saucer is carefully balanced in size and weight for cafés, homes, and workspaces. Designed to stack neatly and sit quietly on the table. Made in Korea.",https://bunnar.kr/products/espresso-cup-and-saucer-에스프레소-컵-앤-소서-75ml-2-5oz,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/01s-2.jpg?v=1748482453,20.5 USD,in stock,638,bunnar,new
flat-white-cup-and-saucer-플랫화이트컵-앤-소서-150ml-5oz,Flat White Cup and Saucer,"A porcelain cup and saucer set for flat white, milk coffee, and quiet daily coffee moments. The cup is compact and easy to enjoy, while the saucer is carefully shaped for balance, stacking, and a clean table setting. Made in Korea.",https://bunnar.kr/products/flat-white-cup-and-saucer-플랫화이트컵-앤-소서-150ml-5oz,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/02s-2.jpg?v=1748482447,27.5 USD,in stock,638,bunnar,new
cappuccino-cup-and-saucer-카푸치노-컵-앤-소서-190ml-6-5oz,Cappuccino Cup and Saucer,"A porcelain cup and saucer set for cappuccino, hand-drip coffee, and everyday café service. The 190ml cup offers a comfortable daily volume, while the saucer brings a clean, composed feeling to the table. Made in Korea.",https://bunnar.kr/products/cappuccino-cup-and-saucer-카푸치노-컵-앤-소서-190ml-6-5oz,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/03s-2.jpg?v=1748482441,28.5 USD,in stock,638,bunnar,new
cafe-latte-cup-and-saucer-카페라떼-컵-앤-소서-270ml-9oz,Cafe Latte Cup and saucer,"A porcelain cup and saucer set for café latte, milk drinks, tea, and quiet dessert moments. The wide 270ml cup feels open and generous, while the saucer completes the setting for cafés, homes, and slow coffee tables. Made in Korea.",https://bunnar.kr/products/cafe-latte-cup-and-saucer-카페라떼-컵-앤-소서-270ml-9oz,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/05s-2.jpg?v=1748482438,31.0 USD,in stock,638,bunnar,new
